#   omega [eV]     refractive_index      extinction_coeff       alpha[1/m]
4.864865     2.230141     3.081114     151922480.540001
4.879880     2.233148     3.054579     151078948.045651
4.894895     2.234825     3.034025     150524109.952579
4.909910     2.238466     3.017324     150154711.945826
4.924925     2.244425     3.009200     150208409.530573
4.939940     2.246246     3.011721     150792576.679091
4.954955     2.238744     3.020875     151710630.228255
4.969970     2.220318     3.031952     152728325.774329
4.984985     2.190181     3.040663     153629860.125526
5.000000     2.148006     3.040565     154087628.272887
5.015015     2.099594     3.022375     153625802.797621
5.030030     2.059341     2.984188     152138880.800660
5.045045     2.037267     2.936393     150149116.242507
5.060060     2.032768     2.889775     148205137.997784
5.075075     2.042384     2.850401     146619596.709336
5.090090     2.061897     2.822785     145628627.554086
5.105105     2.086043     2.809496     145370625.235444
5.120120     2.108880     2.811382     145896047.499533
5.135135     2.124721     2.826219     147096121.942237
5.150150     2.130107     2.850872     148813093.290170
5.165165     2.121615     2.881766     150864266.853381
5.180180     2.097348     2.913572     152972783.191441
5.195195     2.057085     2.941557     154889719.344495
5.210210     1.999846     2.960056     156314312.940767
5.225225     1.927389     2.958940     156705650.361664
5.240240     1.851158     2.928030     155514291.493926
5.255255     1.789280     2.868332     152780108.804671
5.270270     1.753736     2.792675     149175281.416854
5.285285     1.745738     2.716006     145493177.032040
5.300300     1.759217     2.649130     142313865.682268
5.315315     1.785182     2.596320     139871977.176343
5.330330     1.817454     2.555924     138084700.874364
5.345345     1.854760     2.526883     136900290.547152
5.360360     1.894890     2.511272     136436730.625094
5.375375     1.932862     2.509586     136727042.957764
5.390390     1.964541     2.519403     137645321.424370
5.405405     1.987739     2.538119     139054092.444804
5.420420     2.000058     2.563555     140837770.100563
5.435435     1.998733     2.592111     142801070.871298
5.450450     1.981985     2.618196     144636543.680407
5.465465     1.950779     2.634408     145933075.128078
5.480480     1.910225     2.633729     146296283.149023
5.495495     1.868893     2.611571     145462918.312394
5.510511     1.838612     2.567770     143413978.467277
5.525526     1.830827     2.510479     140596263.343006
5.540541     1.848908     2.453458     137776249.804424
5.555556     1.888189     2.407770     135576999.331662
5.570571     1.940876     2.379864     134367864.171581
5.585586     1.997616     2.370970     134226492.882987
5.600601     2.052843     2.376667     134910722.256777
5.615616     2.107090     2.394536     136289466.153505
5.630631     2.159140     2.427415     138530270.295248
5.645646     2.202185     2.476161     141688964.172597
5.660661     2.230474     2.534725     145425832.503281
5.675676     2.245797     2.596519     149366285.406755
5.690691     2.251108     2.661882     153531410.014894
5.705706     2.243510     2.731969     157989677.034511
5.720721     2.218911     2.803407     162547572.626775
5.735736     2.175066     2.870041     166847931.873958
5.750751     2.113254     2.923051     170374472.555395
5.765766     2.041536     2.955032     172688205.697479
5.780781     1.970449     2.965770     173767081.059454
5.795796     1.907164     2.959551     173853124.073726
5.810811     1.856492     2.942120     173276877.684617
5.825826     1.819848     2.921224     172490756.929752
5.840841     1.794150     2.903077     171861054.062983
