#   omega [eV]     refractive_index      extinction_coeff       alpha[1/m]
3.258258     2.017418     2.416964     79817702.871719
3.273273     2.016177     2.420083     80289008.807551
3.288288     2.010311     2.428345     80932648.994014
3.303303     1.998300     2.441707     81749590.448702
3.318318     1.974911     2.458140     82673842.420281
3.333333     1.937751     2.468977     83414061.322362
3.348348     1.893164     2.466142     83693605.007105
3.363363     1.850725     2.449062     83486671.567002
3.378378     1.817373     2.422983     82966377.186175
3.393393     1.794762     2.396717     82431743.167377
3.408408     1.776495     2.377185     82121736.087725
3.423423     1.753703     2.362347     81968665.441279
3.438438     1.723795     2.344399     81702696.812842
3.453453     1.690821     2.317196     81107277.678377
3.468468     1.661186     2.279142     80122163.884611
3.483483     1.641006     2.232274     78814268.940051
3.498498     1.634725     2.182304     77382086.952021
3.513514     1.642202     2.137012     76101306.740032
3.528529     1.658222     2.102172     75180543.272584
3.543544     1.675807     2.078202     74639565.722801
3.558559     1.691246     2.061419     74350488.095525
3.573574     1.704946     2.049282     74224637.238789
3.588589     1.716436     2.042065     74273980.671435
3.603604     1.723665     2.037680     74424602.954222
3.618619     1.728729     2.033041     74564579.617980
3.633634     1.734735     2.030128     74766690.646345
3.648649     1.740022     2.032614     75167580.412032
3.663664     1.739673     2.040892     75784267.451110
3.678679     1.729493     2.050074     76437227.433012
3.693694     1.711748     2.052866     76853726.737615
3.708709     1.693970     2.047605     76968394.501182
3.723724     1.680704     2.039533     76975355.287921
3.738739     1.669841     2.034233     77084902.589499
3.753754     1.655952     2.032730     77337282.910001
3.768769     1.634953     2.030720     77569870.476864
3.783784     1.608695     2.022036     77545870.543349
3.798799     1.583015     2.005630     77221936.547968
3.813814     1.559975     1.984791     76721617.546829
3.828829     1.538590     1.959800     76053862.431522
3.843844     1.520695     1.929560     75173984.152375
3.858859     1.508938     1.895044     74117677.768701
3.873874     1.506134     1.858667     72977752.461193
3.888889     1.513314     1.826153     71979069.951035
3.903904     1.526032     1.802650     71327012.850220
3.918919     1.538197     1.788332     71032646.742669
3.933934     1.545600     1.780145     70978346.357501
3.948949     1.547145     1.773209     70971681.230873
3.963964     1.545751     1.764314     70884127.179383
3.978979     1.544292     1.754274     70747753.704364
3.993994     1.542954     1.744974     70638252.852242
4.009009     1.540200     1.737016     70580440.355561
4.024024     1.534941     1.729094     70521681.972567
4.039039     1.527354     1.719927     70409551.752528
4.054054     1.517767     1.707804     70173170.965546
4.069069     1.509406     1.690828     69732932.237064
4.084084     1.506754     1.672370     69226201.229252
4.099099     1.507938     1.658630     68909865.672291
4.114114     1.506761     1.650422     68820046.073571
4.129129     1.499768     1.643599     68785640.381332
4.144144     1.487431     1.633787     68623664.751204
4.159159     1.472300     1.617692     68193796.774714
4.174174     1.459440     1.594055     67439974.986573
4.189189     1.453680     1.566695     66520871.410663
4.204204     1.454359     1.541749     65696329.562657
4.219219     1.456670     1.521400     65060741.209927
4.234234     1.457471     1.503574     64527246.825285
4.249249     1.456246     1.486282     64011324.561644
4.264264     1.452496     1.467533     63427192.952948
4.279279     1.448080     1.444277     62641845.840286
4.294294     1.447355     1.416658     61659563.498731
4.309309     1.452549     1.388340     60638303.599712
4.324324     1.462365     1.363225     59748814.578658
4.339339     1.472571     1.342888     59061825.173890
4.354354     1.479067     1.323777     58422763.174559
4.369369     1.484042     1.299680     57557075.343175
4.384384     1.495200     1.270361     56452000.418750
4.399399     1.516331     1.243260     55436893.227482
4.414414     1.543023     1.225247     54820176.348086
4.429429     1.568268     1.216739     54624644.834991
4.444444     1.588022     1.214210     54695907.057403
4.459459     1.601077     1.213686     54857003.055035
4.474474     1.608180     1.211418     54938863.577316
4.489489     1.612100     1.204935     54828193.800709
4.504505     1.615931     1.194318     54526882.512273
4.519520     1.620974     1.181048     54100760.053674
4.534535     1.627202     1.165407     53561618.081706
4.549550     1.636033     1.146877     52884534.318297
4.564565     1.649796     1.127019     52140357.610731
4.579580     1.668599     1.109071     51478825.194486
4.594595     1.690374     1.094861     50985854.423572
4.609610     1.713256     1.084406     50664033.959821
4.624625     1.736178     1.077410     50501111.636279
4.639640     1.757704     1.073418     50477359.360935
4.654655     1.776883     1.070042     50481450.799093
4.669670     1.796453     1.065035     50407314.355394
4.684685     1.819768     1.061046     50379987.076996
4.699700     1.845208     1.062316     50601964.457484
4.714715     1.868717     1.069246     51094765.249684
4.729730     1.888280     1.079869     51766749.121319
4.744745     1.902758     1.092757     52550863.279293
4.759760     1.910824     1.105065     53310964.424049
4.774775     1.914105     1.112971     53861735.845172
4.789790     1.916121     1.115292     54143798.635788
4.804805     1.919328     1.112511     54178063.760588
4.819820     1.926305     1.105052     53982994.048231
4.834835     1.940507     1.096055     53710316.390824
4.849850     1.960675     1.091627     53659456.029531
4.864865     1.980661     1.092775     53882153.862602
4.879880     1.998284     1.094636     54140513.210616
4.894895     2.017346     1.094470     54298843.210368
4.909910     2.041440     1.094970     54490310.265925
4.924925     2.070005     1.100113     54913648.226518
4.939940     2.100726     1.111689     55660683.542459
4.954955     2.131582     1.130635     56781337.700013
4.969970     2.159581     1.157506     58306999.689184
4.984985     2.181241     1.190272     60138619.230737
5.000000     2.196113     1.224839     62071540.054513
5.015015     2.206989     1.259378     64013521.181138
5.030030     2.215755     1.295594     66051551.228830
5.045045     2.221586     1.335694     68299206.890490
5.060060     2.221936     1.381500     70851654.076318
5.075075     2.211098     1.432662     73693573.264806
5.090090     2.184163     1.482655     76490760.670765
5.105105     2.142660     1.522527     78779491.498346
5.120120     2.093481     1.546657     80263440.326106
5.135135     2.044746     1.554733     80919148.340171
5.150150     2.002566     1.550639     80942010.859401
5.165165     1.969264     1.540031     80622675.406494
5.180180     1.943945     1.527861     80218061.095249
5.195195     1.923125     1.516924     79874677.635455
5.210210     1.903578     1.506093     79533579.117659
5.225225     1.885078     1.492909     79064552.929694
5.240240     1.869830     1.475770     78381447.456282
5.255255     1.861790     1.455897     77547524.912903
5.270270     1.862963     1.438992     76866100.009430
5.285285     1.868962     1.431102     76662441.815395
5.300300     1.872196     1.432113     76934516.183896
5.315315     1.868762     1.436932     77412082.816223
5.330330     1.859156     1.441095     77855682.391021
5.345345     1.844873     1.442040     78126155.132846
5.360360     1.827894     1.437743     78112185.704506
5.375375     1.811191     1.427067     77749341.765220
5.390390     1.798447     1.410907     77083625.798833
5.405405     1.791453     1.392688     76300193.794653
5.420420     1.789364     1.374808     75529824.758086
5.435435     1.791571     1.358941     74864926.799185
5.450450     1.795681     1.346908     74406998.789823
5.465465     1.798173     1.337091     74068165.080585
5.480480     1.799482     1.324772     73587392.849135
5.495495     1.805487     1.308821     72900531.597027
5.510511     1.819812     1.295413     72350864.586003
5.525526     1.838212     1.290794     72289318.132239
5.540541     1.853795     1.294570     72697778.563332
5.555556     1.863639     1.302166     73322526.598639
5.570571     1.868652     1.310200     73974288.782097
5.585586     1.869949     1.317195     74569686.561155
5.600601     1.869077     1.321399     75008752.665166
5.615616     1.869492     1.323038     75303187.319720
5.630631     1.872504     1.325954     75670942.346464
5.645646     1.874743     1.332918     76271173.327841
5.660661     1.872079     1.341885     76988514.283975
5.675676     1.864360     1.348067     77548338.634770
5.690691     1.855645     1.349106     77813417.992508
5.705706     1.849330     1.347156     77905948.954775
5.720721     1.845297     1.345365     78007143.687459
5.735736     1.840964     1.345108     78196939.707708
5.750751     1.833664     1.344119     78344015.752423
5.765766     1.824930     1.338243     78205196.541791
5.780781     1.819811     1.327023     77751465.715034
5.795796     1.821562     1.314378     77210606.538337
5.810811     1.829547     1.305486     76886947.148604
5.825826     1.838789     1.303403     76962575.811421
5.840841     1.844087     1.304982     77254431.644669
5.855856     1.846555     1.304841     77444649.060382
5.870871     1.850750     1.302427     77499595.744184
5.885886     1.858933     1.301164     77622485.614556
