#   omega [eV]     refractive_index      extinction_coeff       alpha[1/m]
3.498498     3.739266     1.255268     44510404.634113
3.513514     3.781962     1.257116     44767248.047288
3.528529     3.821407     1.268794     45376229.489985
3.543544     3.855249     1.287163     46229043.871201
3.558559     3.881205     1.309415     47227483.176720
3.573574     3.899086     1.329866     48167514.973379
3.588589     3.913794     1.345678     48944987.736103
3.603604     3.926906     1.358549     49619887.371185
3.618619     3.938677     1.365497     50081472.832008
3.633634     3.955755     1.365606     50293297.713406
3.648649     3.981601     1.364690     50467260.545423
3.663664     4.015192     1.366551     50744034.976805
3.678679     4.056033     1.374708     51256139.463771
3.693694     4.100135     1.393032     52151357.055265
3.708709     4.141923     1.420858     53409296.246375
3.723724     4.178671     1.454137     54881551.917671
3.738739     4.212494     1.489156     56429833.615702
3.753754     4.247227     1.527886     58130008.964851
3.768769     4.280699     1.575985     60199816.572296
3.783784     4.304525     1.633575     62648249.978249
3.798799     4.314068     1.692284     65157301.665316
3.813814     4.313550     1.744455     67431488.797252
3.828829     4.309308     1.789348     69439149.714722
3.843844     4.303682     1.829078     71259299.283207
3.858859     4.297761     1.864007     72903769.095246
3.873874     4.293592     1.895495     74423751.911046
3.888889     4.291001     1.926354     75928553.211840
3.903904     4.287028     1.957112     77438740.929615
3.918919     4.280753     1.983641     78790320.591286
3.933934     4.277932     2.003751     79894041.901061
3.948949     4.282520     2.023247     80979281.199916
3.963964     4.290873     2.046321     82214236.358301
3.978979     4.301397     2.071837     83554658.220154
3.993994     4.314894     2.102575     85114283.079520
4.009009     4.325250     2.142054     87038401.071480
4.024024     4.324647     2.184533     89096907.314262
4.039039     4.314188     2.219455     90858998.044245
4.054054     4.302539     2.241736     92112270.194731
4.069069     4.297593     2.253299     92930322.476589
4.084084     4.304818     2.258467     93487163.751185
4.099099     4.327141     2.264930     94099366.839359
4.114114     4.361044     2.280093     95076327.785205
4.129129     4.400959     2.305620     96491638.723702
4.144144     4.444665     2.340812     98320678.965608
4.159159     4.490708     2.386623     100608091.275077
4.174174     4.536537     2.442900     103352208.320686
4.189189     4.581817     2.508908     106526627.542518
4.204204     4.625944     2.586799     110227498.010726
4.219219     4.664201     2.678181     114529000.984730
4.234234     4.691550     2.778470     119240569.257933
4.249249     4.711161     2.881072     124082290.404165
4.264264     4.730495     2.987926     129139020.725567
4.279279     4.751421     3.108012     134802151.775487
4.294294     4.767082     3.251029     141499900.939364
4.309309     4.763177     3.420234     149385000.336987
4.324324     4.725075     3.609496     158200668.348830
4.339339     4.641610     3.806273     167404488.449594
4.354354     4.505887     3.990937     176133575.352477
4.369369     4.324990     4.136244     183175937.289703
4.384384     4.127206     4.225832     187786518.080192
4.399399     3.941359     4.268852     190347882.319475
4.414414     3.779786     4.286418     191783472.013070
4.429429     3.639077     4.300342     193060891.600636
4.444444     3.498295     4.322247     194702064.518398
4.459459     3.334759     4.335557     195961467.547642
4.474474     3.155818     4.307891     195366588.026538
4.489489     2.996441     4.228379     192404113.340016
4.504505     2.887149     4.118338     188023662.898425
4.519520     2.832868     4.012400     183797658.744792
4.534535     2.817182     3.934964     180849362.538918
4.549550     2.820059     3.895548     179630659.645363
4.564565     2.822033     3.898302     180350918.140071
4.579580     2.797772     3.940023     182880700.768750
4.594595     2.720958     3.998216     186190272.341662
4.609610     2.586474     4.028650     188220641.783272
4.624625     2.428964     3.994171     187217601.899636
4.639640     2.297238     3.898558     183329273.497839
4.654655     2.216116     3.773578     178026387.316942
4.669670     2.184023     3.649333     172720221.379264
4.684685     2.188575     3.542295     168193271.899359
4.699700     2.218833     3.459898     164807477.988721
4.714715     2.265255     3.408001     162854104.485213
4.729730     2.315420     3.390982     162556881.814646
4.744745     2.354610     3.407123     163849156.975878
4.759760     2.370978     3.448937     166384889.161270
4.774775     2.355074     3.506742     169707178.225124
4.789790     2.297706     3.565013     173069717.292061
4.804805     2.199634     3.597231     175181265.943993
4.819820     2.085583     3.580463     174909527.387731
4.834835     1.989795     3.520075     172495230.790555
4.849850     1.925911     3.440650     169126761.378498
4.864865     1.888315     3.359249     165636685.060257
4.879880     1.870492     3.280944     162274938.544969
4.894895     1.870313     3.209932     159251216.964912
4.909910     1.882043     3.151695     156841599.891130
4.924925     1.897952     3.104561     154968448.008891
4.939940     1.918263     3.063696     153394861.717450
4.954955     1.946769     3.031322     152235286.724628
4.969970     1.982209     3.014030     151825568.508670
4.984985     2.017797     3.017188     152443780.694363
5.000000     2.042824     3.041710     154145669.299814
5.015015     2.046122     3.081503     156631245.890574
5.030030     2.020717     3.124443     159289363.909565
5.045045     1.965974     3.154091     161280832.677170
5.060060     1.894148     3.152975     161703631.460314
5.075075     1.829237     3.118618     160416182.886650
5.090090     1.786017     3.067011     158228361.916041
5.105105     1.761460     3.013589     155930938.341892
5.120120     1.747862     2.961188     153670178.595983
5.135135     1.745678     2.907727     151338359.637611
5.150150     1.758943     2.858291     149200381.248403
5.165165     1.783708     2.822036     147737368.106625
5.180180     1.809691     2.800746     147048990.301022
5.195195     1.830776     2.788069     146807729.997868
5.210210     1.848892     2.777466     146672125.484002
5.225225     1.869891     2.768768     146634142.644121
5.240240     1.895904     2.768115     147020819.724714
5.255255     1.922140     2.781485     148154209.027696
5.270270     1.940186     2.809996     150100498.204251
5.285285     1.941816     2.849226     152629626.850591
5.300300     1.922343     2.890487     155279810.796280
5.315315     1.881741     2.923565     157501716.390613
5.330330     1.825010     2.938159     158735095.766616
5.345345     1.763948     2.926745     158563826.169254
5.360360     1.714721     2.891933     157117920.884946
5.375375     1.686030     2.847625     155144067.946284
5.390390     1.673247     2.806340     153321821.233335
5.405405     1.668623     2.770423     151781156.547028
5.420420     1.669806     2.738801     150465533.988099
5.435435     1.675298     2.713133     149468250.359318
5.450450     1.680601     2.693495     148796295.115056
