#   omega [eV]     refractive_index      extinction_coeff       alpha[1/m]
7.012012     0.821006     2.634163     187209939.117521
7.027027     0.808992     2.633641     187573626.619629
7.042042     0.794559     2.630210     187729491.413710
7.057057     0.780018     2.622367     187568776.074082
7.072072     0.767572     2.610871     187143847.854787
7.087087     0.758424     2.596942     186540646.869257
7.102102     0.753764     2.582421     185890598.082810
7.117117     0.753086     2.570551     185427370.041684
7.132132     0.752839     2.563233     185289567.559925
7.147147     0.749095     2.558246     185318385.931011
7.162162     0.742023     2.550902     185174584.047279
7.177177     0.735710     2.539383     184724916.538893
7.192192     0.733333     2.526206     184150808.375281
7.207207     0.734151     2.514869     183707075.145405
7.222222     0.735235     2.505708     183419196.097760
7.237237     0.736134     2.496376     183116019.980786
7.252252     0.739291     2.486443     182765835.815824
7.267267     0.746069     2.478559     182563511.699004
7.282282     0.754823     2.475804     182737341.436950
7.297297     0.761585     2.479057     183354691.699070
7.312312     0.762874     2.485568     184214544.170974
7.327327     0.758807     2.490954     184992791.311549
7.342342     0.752792     2.493243     185542248.931668
7.357357     0.747265     2.494394     186007484.830715
7.372372     0.740976     2.496335     186532116.892503
7.387387     0.732441     2.497864     187026527.772979
7.402402     0.722824     2.497785     187400754.264796
7.417417     0.712855     2.497233     187739343.152406
7.432432     0.701040     2.496641     188074791.374555
7.447447     0.686301     2.494072     188260841.237507
7.462462     0.670148     2.487095     188112702.798411
7.477477     0.655704     2.475639     187622916.893679
7.492492     0.644656     2.461932     186958815.765609
7.507508     0.636610     2.447945     186269141.916233
7.522523     0.630686     2.434643     185627517.918247
7.537538     0.625737     2.422508     185070911.194851
7.552553     0.620486     2.411033     184561176.558916
7.567568     0.614604     2.398792     183989252.680456
7.582583     0.609038     2.384831     183281329.717372
7.597598     0.604727     2.369075     182431002.858719
7.612613     0.602505     2.351449     181431575.470757
7.627628     0.603801     2.332117     180294828.527721
7.642643     0.610386     2.312550     179134103.466921
7.657658     0.622741     2.295584     178169177.589825
7.672673     0.639703     2.283782     177600804.701078
7.687688     0.659267     2.279167     177588725.043169
7.702703     0.678280     2.283075     178240704.812526
7.717718     0.692661     2.295005     179521321.951178
7.732733     0.699125     2.311960     181199416.808459
7.747748     0.696651     2.330059     182972551.148413
7.762763     0.685544     2.345560     184546727.809860
7.777778     0.668191     2.354592     185615686.244920
7.792793     0.649207     2.355713     186062569.643450
7.807808     0.632521     2.350699     186024279.861058
7.822823     0.619544     2.342847     185759482.201591
7.837838     0.609181     2.334478     185451204.044084
7.852853     0.600141     2.325911     185124583.866368
7.867868     0.592096     2.316963     184765014.978105
7.882883     0.584961     2.307782     184384055.634110
7.897898     0.578329     2.298498     183992064.089091
7.912913     0.571767     2.288537     183543007.869634
7.927928     0.565995     2.277022     182966045.893410
7.942943     0.562352     2.264412     182297410.994759
7.957958     0.561117     2.251951     181636911.409236
7.972973     0.561915     2.240366     181043401.613681
7.987988     0.564598     2.230226     180563448.287619
8.003003     0.568533     2.222614     180285361.260448
8.018018     0.571930     2.217830     180234865.984161
8.033033     0.573343     2.214504     180301609.696039
8.048048     0.573102     2.210643     180323614.280580
8.063063     0.572971     2.205719     180257699.263524
8.078078     0.573805     2.200707     180182966.163161
8.093093     0.575742     2.196196     180147864.885383
8.108108     0.579225     2.193314     180245297.177685
8.123123     0.583040     2.194181     180650399.013711
8.138138     0.583743     2.198919     181375200.143967
8.153153     0.579064     2.204334     182157249.548815
8.168168     0.570306     2.206798     182696733.397542
8.183183     0.560556     2.205481     182923356.990911
8.198198     0.551451     2.201602     182936689.923510
8.213213     0.543397     2.196022     182807170.020250
8.228228     0.536811     2.189586     182604695.090976
8.243243     0.531261     2.183480     182427750.559964
8.258258     0.525324     2.177699     182276179.153896
8.273273     0.518864     2.170661     182017359.774282
8.288288     0.513629     2.162084     181627203.176918
8.303303     0.510179     2.153593     181241671.463181
8.318318     0.507435     2.145845     180916209.679524
8.333333     0.505108     2.138410     180614749.255463
8.348348     0.503357     2.131752     180376829.178955
8.363363     0.500868     2.126336     180242202.304604
8.378378     0.496399     2.120254     180049264.953843
8.393393     0.491824     2.111285     179608973.476980
8.408408     0.490061     2.100385     179001309.837140
8.423423     0.491678     2.090294     178459414.393552
8.438438     0.495232     2.082847     178140622.834699
8.453453     0.498656     2.078421     178078350.658248
8.468468     0.500344     2.075715     178162429.162771
8.483483     0.500637     2.073151     178257885.209153
8.498498     0.500137     2.070701     178362289.877866
8.513514     0.498531     2.067857     178432044.846975
8.528529     0.496945     2.063614     178379932.260269
8.543544     0.497122     2.059041     178298036.579098
8.558559     0.498678     2.056487     178389810.689281
8.573574     0.499061     2.056681     178719684.967910
8.588589     0.496470     2.057532     179106779.636952
8.603604     0.491997     2.056777     179354050.540138
8.618619     0.487615     2.054546     179472112.819155
8.633634     0.483599     2.052204     179579844.962288
8.648649     0.478950     2.049895     179689771.171410
8.663664     0.473806     2.046571     179709857.582370
8.678679     0.469518     2.042529     179665787.054876
8.693694     0.465825     2.039564     179715379.334335
8.708709     0.460383     2.037724     179863307.300719
8.723724     0.452472     2.034312     179871754.620549
8.738739     0.444450     2.027777     179602513.485660
8.753754     0.438296     2.019379     179166057.048251
8.768769     0.433960     2.010745     178705978.571594
8.783784     0.430567     2.002335     178263312.042339
8.798799     0.427981     1.993608     177789689.362187
8.813814     0.427190     1.984913     177316406.954625
8.828829     0.427913     1.977985     176998482.984461
8.843844     0.428152     1.973207     176871288.955845
8.858859     0.426766     1.969079     176800864.206765
8.873874     0.424354     1.964060     176649108.095232
8.888889     0.422459     1.957879     176391193.226602
8.903904     0.422050     1.951875     176147328.559438
8.918919     0.422166     1.947587     176056727.428638
